schemaname,tablename,policyname,permissive,roles,cmd,using_expression,with_check_expression,drop_policy_sql,recreate_policy_sql
public,check_in_logs,doorflow admins managers can delete check in logs,PERMISSIVE,{authenticated},DELETE,"doorflow_has_role(ARRAY['admin'::text, 'manager'::text])",null,"drop policy if exists ""doorflow admins managers can delete check in logs"" on public.check_in_logs;","create policy ""doorflow admins managers can delete check in logs"" on public.check_in_logs as permissive for delete to authenticated
using (doorflow_has_role(ARRAY['admin'::text, 'manager'::text]));"
public,check_in_logs,doorflow admins managers door can insert check in logs,PERMISSIVE,{authenticated},INSERT,null,"doorflow_has_role(ARRAY['admin'::text, 'manager'::text, 'door'::text])","drop policy if exists ""doorflow admins managers door can insert check in logs"" on public.check_in_logs;","create policy ""doorflow admins managers door can insert check in logs"" on public.check_in_logs as permissive for insert to authenticated
with check (doorflow_has_role(ARRAY['admin'::text, 'manager'::text, 'door'::text]));"
public,check_in_logs,doorflow staff can read check in logs,PERMISSIVE,{authenticated},SELECT,"doorflow_has_role(ARRAY['admin'::text, 'manager'::text, 'door'::text, 'viewer'::text])",null,"drop policy if exists ""doorflow staff can read check in logs"" on public.check_in_logs;","create policy ""doorflow staff can read check in logs"" on public.check_in_logs as permissive for select to authenticated
using (doorflow_has_role(ARRAY['admin'::text, 'manager'::text, 'door'::text, 'viewer'::text]));"
public,groups,doorflow admins managers can manage groups,PERMISSIVE,{authenticated},ALL,"doorflow_has_role(ARRAY['admin'::text, 'manager'::text])","doorflow_has_role(ARRAY['admin'::text, 'manager'::text])","drop policy if exists ""doorflow admins managers can manage groups"" on public.groups;","create policy ""doorflow admins managers can manage groups"" on public.groups as permissive for all to authenticated
using (doorflow_has_role(ARRAY['admin'::text, 'manager'::text]))
with check (doorflow_has_role(ARRAY['admin'::text, 'manager'::text]));"
public,groups,doorflow staff can read groups,PERMISSIVE,{authenticated},SELECT,"doorflow_has_role(ARRAY['admin'::text, 'manager'::text, 'door'::text, 'viewer'::text])",null,"drop policy if exists ""doorflow staff can read groups"" on public.groups;","create policy ""doorflow staff can read groups"" on public.groups as permissive for select to authenticated
using (doorflow_has_role(ARRAY['admin'::text, 'manager'::text, 'door'::text, 'viewer'::text]));"
public,guests,doorflow admins managers can delete guests,PERMISSIVE,{authenticated},DELETE,"doorflow_has_role(ARRAY['admin'::text, 'manager'::text])",null,"drop policy if exists ""doorflow admins managers can delete guests"" on public.guests;","create policy ""doorflow admins managers can delete guests"" on public.guests as permissive for delete to authenticated
using (doorflow_has_role(ARRAY['admin'::text, 'manager'::text]));"
public,guests,doorflow admins managers can insert guests,PERMISSIVE,{authenticated},INSERT,null,"doorflow_has_role(ARRAY['admin'::text, 'manager'::text])","drop policy if exists ""doorflow admins managers can insert guests"" on public.guests;","create policy ""doorflow admins managers can insert guests"" on public.guests as permissive for insert to authenticated
with check (doorflow_has_role(ARRAY['admin'::text, 'manager'::text]));"
public,guests,doorflow staff can read guests,PERMISSIVE,{authenticated},SELECT,"doorflow_has_role(ARRAY['admin'::text, 'manager'::text, 'door'::text, 'viewer'::text])",null,"drop policy if exists ""doorflow staff can read guests"" on public.guests;","create policy ""doorflow staff can read guests"" on public.guests as permissive for select to authenticated
using (doorflow_has_role(ARRAY['admin'::text, 'manager'::text, 'door'::text, 'viewer'::text]));"
public,guests,doorflow admins managers door can update guests,PERMISSIVE,{authenticated},UPDATE,"doorflow_has_role(ARRAY['admin'::text, 'manager'::text, 'door'::text])","doorflow_has_role(ARRAY['admin'::text, 'manager'::text, 'door'::text])","drop policy if exists ""doorflow admins managers door can update guests"" on public.guests;","create policy ""doorflow admins managers door can update guests"" on public.guests as permissive for update to authenticated
using (doorflow_has_role(ARRAY['admin'::text, 'manager'::text, 'door'::text]))
with check (doorflow_has_role(ARRAY['admin'::text, 'manager'::text, 'door'::text]));"
public,service_days,doorflow admins managers can manage service days,PERMISSIVE,{authenticated},ALL,"doorflow_has_role(ARRAY['admin'::text, 'manager'::text])","doorflow_has_role(ARRAY['admin'::text, 'manager'::text])","drop policy if exists ""doorflow admins managers can manage service days"" on public.service_days;","create policy ""doorflow admins managers can manage service days"" on public.service_days as permissive for all to authenticated
using (doorflow_has_role(ARRAY['admin'::text, 'manager'::text]))
with check (doorflow_has_role(ARRAY['admin'::text, 'manager'::text]));"
